"name","country","region","latitude","longitude","aliases"
"Aribinda","Burkina Faso","Sahel","14.22963","-0.86537","Arbinda"
"Bama","Burkina Faso","Boucle du Mouhoun","12.0357","-4.3987",""
"Banfora","Burkina Faso","Cascades Region","10.64064","-4.75285","Banforu|banaphora|banfwra|bang fu la|bangpola"
"Barogo","Burkina Faso","Plateau-Central","12.55","-0.96667",""
"Batié","Burkina Faso","Sud-Ouest","9.88333","-2.91667","Batie|Bat'e|Bati|baty|beti"
"Béguédo","Burkina Faso","Centre-Est","11.78083","-0.73389","Beguedo"
"Bittou","Burkina Faso","Centre-Est","11.25806","-0.30611","Bitou|Bittu"
"Bobo-Dioulasso","Burkina Faso","Hauts-Bassins","11.18064","-4.29489","Bobo Diulasas|Bobo-Diulaco shaary|Bobo-Diulaso|Bobo-Diulasso|Bobodjulaso|bo bo di wu la suo|bobo-diyolaso|bobodiullaso|bwbw dywlasw"
"Bogandé","Burkina Faso","Est","12.97711","-0.14661","Bogande|Bogunde|boganide|bwghandy|bwgndy"
"Boromo","Burkina Faso","Boucle du Mouhoun","11.74542","-2.93006","Borom|baromo|bwrwmw"
"Boulsa","Burkina Faso","Centre-Nord","12.66664","-0.57469","Boulssa|Bulsa|baulasa|burusa|bwlsa"
"Bourzanga","Burkina Faso","Centre-Nord","13.67806","-1.54611","Boulzanga|Bourzenga"
"Boussé","Burkina Faso","Plateau-Central","12.66121","-1.89515","Bousse|Busse|baus'se|bause|buse|bwsh|bwsy"
"Cinkansé","Burkina Faso","Centre-Est","11.11857","0.00993","Cinkanse"
"Dano","Burkina Faso","Sud-Ouest","11.1464","-3.05784","danw"
"Dédougou","Burkina Faso","Boucle du Mouhoun","12.4636","-3.46075","Dedougou|Dedugu|dai du gu|ddwgw|dedougu|dydwghw|dydwgw"
"Diapaga","Burkina Faso","Est","12.0729","1.78835","diyapaga|dyabgha|dyapaga"
"Diébougou","Burkina Faso","Sud-Ouest","10.96209","-3.24967","Diebougou|D'ebugu|Diebugu|di'ebaugau|di'ebogo|dibebogu|dibugu|dybwghw|dybwgw"
"Djibo","Burkina Faso","Sahel","14.09864","-1.62665","Dzhibo|Jibo|jybw"
"Dori","Burkina Faso","Sahel","14.03326","-0.03333","Doris|dari|duo li|dwry|dwry  brkyna fasw"
"Fada N'gourma","Burkina Faso","Est","12.06157","0.35843","Fada-Ngurma|fada ngwrma|fada nqwrma|fadangoruma|phada enagorama|phada n'gaurma|phada nagorama"
"Fara Department","Burkina Faso","Boucle du Mouhoun","11.52941","-2.76797","Fara"
"Gao","Burkina Faso","Centre-Ouest","11.64967","-2.17777",""
"Gaoua","Burkina Faso","Sud-Ouest","10.33137","-3.18202","Gaua|Gava|gawa|jia wa"
"Garango","Burkina Faso","Centre-Est","11.8","-0.55056","jia lang ge"
"Gayéri","Burkina Faso","Est","12.64824","0.49314","Gayeri|Gaeri|ga'iri|gaieri|gayry|gayyry|ghayry"
"Gomboussougou","Burkina Faso","Centre-Sud","11.42611","-0.77278","Bonsoungou|Bonsungu|Boussougou|Comboussougou|Komboussougou"
"Gorom-Gorom","Burkina Faso","Sahel","14.4429","-0.23468","Gorum-Gorum|ghwrm ghwrm|gorama-gorama|goroma-goroma|goromugoromu|gwrm gwrm"
"Goulouré","Burkina Faso","Centre-Ouest","12.23484","-1.93394","Gouloure"
"Gourcy","Burkina Faso","Nord","13.20776","-2.35893","Goursi|Gursi|gaurasi|gaursi|ghwrsy|gorisi|gorushi|gwrsy"
"Houndé","Burkina Faso","Hauts-Bassins","11.5","-3.51667","Hounde|Hunde|Unde|handy|haunde|honide|hwndy"
"Karankasso","Burkina Faso","Hauts-Bassins","11.22191","-4.64423","Karangasso"
"Kaya","Burkina Faso","Centre-Nord","13.0883","-1.08368","Kaja|kaya  brkyna fasw"
"Kindi","Burkina Faso","Centre-Ouest","12.4386","-2.03279","Kindia"
"Kokologo","Burkina Faso","Centre-Ouest","12.19392","-1.87687","Kokolgho"
"Kombissiri","Burkina Faso","Centre-Sud","12.06884","-1.33644","Kombisiri|Kombissiguiri|kambisiri|kombisasiri|konbisshiri|kwmbysyry"
"Kompienga","Burkina Faso","Est","11.08169","0.72365","Komp'enga|kampi'enga|kapi'enga|konpienga|kwmbyynja|kwmpyhnga|kwmpyynga"
"Kongoussi","Burkina Faso","Centre-Nord","13.32583","-1.53472","Kongusi|kongaus'si|kongausi|kongousshi|kwenigusisi|kwnghwsy|kwngwsy"
"Korsimoro","Burkina Faso","Centre-Nord","12.82506","-1.06737",""
"Koudougou","Burkina Faso","Centre-Ouest","12.25188","-2.36694","Kondougou|Kudugu|Kuduguo|khu du ku|kudougu|kwdwghw|kwdwgw"
"Kouka","Burkina Faso","Centre-Nord","13.4345","-1.61361",""
"Koupéla","Burkina Faso","Centre-Est","12.17864","-0.35103","Koupela|Kupela|kaupela|kopela|kupera|kwbyla|kwpla|kwpyla"
"Léo","Burkina Faso","Centre-Ouest","11.10033","-2.10654","li'o|liyo"
"Manga","Burkina Faso","Centre-Sud","11.66496","-1.06977","maga|mangha|maniga|mnga|myanga"
"Mangodara","Burkina Faso","Cascades Region","9.90238","-4.3576","Mangodaga"
"Mani","Burkina Faso","Est","13.25833","-0.21306","Manni"
"Mogtédo","Burkina Faso","Plateau-Central","12.28444","-0.83722","Mogtedo"
"Namponkoré","Burkina Faso","Est","11.73748","1.77718","Namponkore"
"Nanoro","Burkina Faso","Centre-Ouest","12.68662","-2.19375",""
"Natiaboani","Burkina Faso","Est","11.69917","0.50611",""
"Niangoloko","Burkina Faso","Cascades Region","10.28333","-4.91667","N'jangoloko|niangoroko|nyangwlwkw"
"Nioko I","Burkina Faso","Centre","12.39501","-1.43861","Nyoko"
"Nouna","Burkina Faso","Boucle du Mouhoun","12.72939","-3.86305","Naunna|nauna|nwna"
"Orodara","Burkina Faso","Hauts-Bassins","10.98115","-4.91885","ao luo da la|ao luo duo la|awrwdara|wrwdara"
"Ouagadougou","Burkina Faso","Centre","12.36566","-1.53388","Huagadugu|Ouagadouga|Ouankantounkou|Ougadougou|Owagadugu|Uagadougou|Uagadugu|Uagaduguo|Uagadugú|Uaqaduqu"
"Ouahigouya","Burkina Faso","Nord","13.5769","-2.41786","Uahiguja|Uakhiguja|Vakhiguja|Waiguya|o'ahigoya|oyahigoya|wa xi gu ya|wahigoya|wahiguya|wahyghwya"
"Ouargaye","Burkina Faso","Centre-Est","11.50202","0.05886","Ouargay|Uargaje|au'araga'e|au'aragaye|oyaragaya|uarugaie|wargayh|warigaye|warkay"
"Pa","Burkina Faso","Boucle du Mouhoun","12.66667","-3.95",""
